Phon1	Phon2	Phon3	Count	Centered Prob(Phon2 | Phon1 ... Phon3)
g	Q	T	3	0.75
_	i	E	3	0.75
i	1	J	3	0.75
Z	@	d	3	0.75
P	d	V	3	0.75
U	k	u	3	0.75
D	@	b	6	0.75
8	v	4	3	0.75
4	I	_	3	0.75
s	6	T	15	0.75
n	#	Z	3	0.75
6	n	_	6	0.75
b	r	4	6	0.75
4	k	Q	3	0.75
Q	N	g	32	0.744186046511628
m	@	R	93	0.744
p	@	R	151	0.74384236453202
m	j	U	40	0.740740740740741
U	1	S	17	0.739130434782609
U	l	1	99	0.738805970149254
n	@	R	127	0.738372093023256
r	I	5	14	0.736842105263158
4	@	l	14	0.736842105263158
d	I	s	544	0.735135135135135
z	I	g	11	0.733333333333333
r	I	Q	19	0.730769230769231
N	l	I	200	0.72992700729927
d	I	_	35	0.729166666666667
7	r	@	35	0.729166666666667
t	j	u	164	0.728888888888889
z	1	S	102	0.728571428571429
s	@	R	67	0.728260869565217
P	j	u	8	0.727272727272727
p	r	7	8	0.727272727272727
I	I	N	8	0.727272727272727
U	m	E	13	0.722222222222222
p	r	E	184	0.715953307392996
V	n	3	5	0.714285714285714
m	b	P	50	0.714285714285714
$	b	8	5	0.714285714285714
9	n	t	5	0.714285714285714
g	l	8	5	0.714285714285714
E	_	U	15	0.714285714285714
@	n	T	10	0.714285714285714
H	@	l	57	0.7125
{	m	p	116	0.711656441717791
w	I	N	31	0.704545454545455
8	r	I	69	0.704081632653061
m	p	j	19	0.703703703703704
f	j	u	82	0.700854700854701
p	t	j	7	0.7
p	r	5	112	0.7
b	r	$	28	0.7
b	j	9	7	0.7
U	p	2	7	0.7
N	h	6	7	0.7
V	m	p	116	0.698795180722892
j	9	r	139	0.698492462311558
S	@	n	111	0.69811320754717
w	1	 	79	0.692982456140351
N	g	5	27	0.692307692307692
r	@	R	78	0.684210526315789
b	r	7	13	0.684210526315789
 	s	t	724	0.683663833805477
v	@	r	121	0.68361581920904
S	H	z	28	0.682926829268293
{	m	b	86	0.682539682539683
b	l	I	287	0.681710213776722
k	j	9	62	0.681318681318681
T	I	N	32	0.680851063829787
t	r	i	66	0.680412371134021
r	I	N	212	0.67948717948718
p	r	i	106	0.67948717948718
b	@	R	76	0.672566371681416
{	N	k	140	0.669856459330144
d	I	d	167	0.668
h	#	f	40	0.666666666666667
6	t	g	6	0.666666666666667
#	f	6	2	0.666666666666667
H	m	6	2	0.666666666666667
V	l	7	2	0.666666666666667
4	f	U	2	0.666666666666667
j	u	d	78	0.666666666666667
f	m	j	2	0.666666666666667
3	k	S	2	0.666666666666667
8	s	t	2	0.666666666666667
4	d	P	2	0.666666666666667
r	I	2	2	0.666666666666667
D	@	p	2	0.666666666666667
J	k	j	2	0.666666666666667
U	J	7	2	0.666666666666667
T	b	6	2	0.666666666666667
1	l	q	2	0.666666666666667
U	d	H	6	0.666666666666667
4	l	d	4	0.666666666666667
H	h	8	2	0.666666666666667
_	I	S	2	0.666666666666667
v	@	h	12	0.666666666666667
i	s	t	62	0.666666666666667
1	h	6	2	0.666666666666667
U	t	Q	2	0.666666666666667
U	l	{	8	0.666666666666667
j	u	5	4	0.666666666666667
r	i	j	4	0.666666666666667
_	f	U	4	0.666666666666667
k	s	P	2	0.666666666666667
j	u	I	18	0.666666666666667
T	#	_	2	0.666666666666667
{	s	3	2	0.666666666666667
N	k	V	4	0.666666666666667
6	T	i	4	0.666666666666667
q	n	s	6	0.666666666666667
H	2	d	2	0.666666666666667
z	m	V	2	0.666666666666667
r	u	6	2	0.666666666666667
w	I	E	4	0.666666666666667
V	n	1	2	0.666666666666667
4	@	n	10	0.666666666666667
v	@	f	8	0.666666666666667
i	f	U	2	0.666666666666667
v	@	w	12	0.666666666666667
6	t	6	2	0.666666666666667
3	n	V	2	0.666666666666667
3	l	4	2	0.666666666666667
Z	j	@	4	0.666666666666667
v	H	T	4	0.666666666666667
P	I	s	2	0.666666666666667
T	i	f	2	0.666666666666667
j	U	{	2	0.666666666666667
4	z	H	4	0.666666666666667
8	f	U	6	0.666666666666667
N	p	4	4	0.666666666666667
H	p	$	2	0.666666666666667
r	I	 	703	0.66195856873823
2	@	n	70	0.660377358490566
j	u	k	29	0.659090909090909
t	r	Q	61	0.655913978494624
Q	m	p	93	0.654929577464789
k	1	S	132	0.653465346534653
 	{	N	47	0.652777777777778
t	I	k	648	0.652567975830816
p	I	N	71	0.651376146788991
5	s	t	99	0.651315789473684
N	k	 	123	0.650793650793651
N	k	t	39	0.65
N	g	j	13	0.65
6	t	f	13	0.65
h	{	N	26	0.65
b	l	V	63	0.649484536082474
j	U	l	286	0.648526077097506
8	r	5	11	0.647058823529412
j	u	m	111	0.645348837209302
m	u	v	20	0.645161290322581
P	m	@	20	0.645161290322581
2	@	b	38	0.644067796610169
S	@	b	18	0.642857142857143
{	S	H	36	0.642857142857143
s	I	Z	9	0.642857142857143
I	n	f	126	0.642857142857143
t	r	5	84	0.641221374045801
t	@	b	213	0.63963963963964
r	I	#	7	0.636363636363636
s	t	h	7	0.636363636363636
5	E	v	7	0.636363636363636
#	n	s	56	0.636363636363636
t	I	d	295	0.635775862068966
S	H	@	89	0.635714285714286
U	l	n	45	0.633802816901408
g	r	{	112	0.632768361581921
Q	t	H	12	0.631578947368421
J	@	r	54	0.627906976744186
j	u	p	32	0.627450980392157
b	l	{	57	0.626373626373626
d	r	4	5	0.625
v	I	v	15	0.625
$	f	U	10	0.625
f	l	$	20	0.625
J	f	U	5	0.625
m	p	E	35	0.625
E	k	$	5	0.625
8	f	$	5	0.625
p	r	8	5	0.625
w	8	R	38	0.622950819672131
I	S	H	152	0.622950819672131
E	s	k	46	0.621621621621622
d	I	f	100	0.62111801242236
d	I	S	77	0.620967741935484
D	@	r	18	0.620689655172414
I	k	w	85	0.62043795620438
v	l	I	145	0.61965811965812
m	I	N	61	0.616161616161616
N	r	U	8	0.615384615384615
j	u	E	8	0.615384615384615
T	r	2	8	0.615384615384615
Q	s	J	8	0.615384615384615
N	g	w	30	0.612244897959184
g	@	r	60	0.612244897959184
Z	9	l	11	0.611111111111111
Q	n	_	11	0.611111111111111
#	n	d	22	0.611111111111111
f	j	9	14	0.608695652173913
