Phon1	Phon2	Count	Phon1 Count	Prob(Phon2|Phon1)
i	r	15	3341	0.00448967375037414
S	3	16	3569	0.00448304847296161
N	T	11	2456	0.00447882736156352
N	f	11	2456	0.00447882736156352
1	Z	22	4913	0.00447791573376756
2	{	17	3805	0.00446780551905388
2	w	17	3805	0.00446780551905388
n	b	71	15926	0.00445811879944744
v	$	15	3374	0.0044457617071725
v	6	15	3374	0.0044457617071725
 	2	172	38731	0.00444088714466448
t	h	78	17750	0.0043943661971831
t	b	78	17750	0.0043943661971831
g	d	14	3223	0.00434377908780639
k	2	54	12444	0.00433944069431051
E	Z	28	6473	0.0043256604356558
I	1	114	26488	0.00430383569918454
m	P	35	8176	0.00428082191780822
U	z	6	1413	0.00424628450106157
U	@	6	1413	0.00424628450106157
f	u	21	4950	0.00424242424242424
b	d	25	5896	0.00424016282225237
H	h	9	2124	0.00423728813559322
z	r	12	2841	0.00422386483632524
n	p	67	15926	0.00420695717694336
2	_	16	3805	0.00420499342969777
S	7	15	3569	0.00420285794340151
T	1	4	960	0.00416666666666667
n	h	66	15926	0.00414416677131734
9	 	2	488	0.00409836065573771
9	_	2	488	0.00409836065573771
b	_	24	5896	0.00407055630936228
7	p	5	1233	0.0040551500405515
7	z	5	1233	0.0040551500405515
s	J	65	16407	0.0039617236545377
P	2	9	2276	0.00395430579964851
P	k	9	2276	0.00395430579964851
P	f	9	2276	0.00395430579964851
I	J	103	26488	0.00388855330715796
z	w	11	2841	0.0038718760999648
v	z	13	3374	0.0038529934795495
5	Z	15	3894	0.00385208012326656
5	Q	15	3894	0.00385208012326656
d	u	36	9348	0.00385109114249037
@	h	70	18210	0.00384404173531027
H	w	8	2124	0.00376647834274953
b	t	22	5896	0.00373134328358209
b	z	22	5896	0.00373134328358209
g	6	12	3223	0.00372323921811976
2	D	14	3805	0.00367936925098555
d	h	34	9348	0.00363714163457424
r	4	44	12132	0.00362677217276624
5	{	14	3894	0.00359527478171546
i	D	12	3341	0.00359173900029931
 	1	139	38731	0.00358885647156025
n	g	57	15926	0.00357905312068316
s	j	58	16407	0.00353507649174133
6	m	4	1134	0.00352733686067019
n	r	56	15926	0.00351626271505714
P	h	8	2276	0.00351493848857645
P	j	8	2276	0.00351493848857645
1	T	17	4913	0.00346020761245675
t	8	61	17750	0.00343661971830986
 	6	133	38731	0.00343394180372312
g	8	11	3223	0.00341296928327645
n	w	54	15926	0.0033906819038051
 	i	131	38731	0.00338230358111074
S	b	12	3569	0.00336228635472121
S	9	12	3569	0.00336228635472121
I	{	89	26488	0.00336001208094231
@	S	61	18210	0.00334980779791323
p	J	28	8362	0.00334848122458742
_	w	7	2114	0.0033112582781457
m	7	27	8176	0.00330234833659491
v	m	11	3374	0.0032602252519265
N	w	8	2456	0.00325732899022801
7	k	4	1233	0.0032441200324412
f	H	16	4950	0.00323232323232323
f	b	16	4950	0.00323232323232323
l	4	45	13977	0.00321957501609787
I	5	85	26488	0.00320900030202356
n	#	51	15926	0.00320231068692704
m	w	26	8176	0.00318003913894325
u	h	8	2516	0.00317965023847377
z	k	9	2841	0.00316789862724393
k	b	39	12444	0.00313404050144648
T	P	3	960	0.003125
p	f	26	8362	0.00310930399425975
j	1	8	2577	0.00310438494373302
j	7	8	2577	0.00310438494373302
j	3	8	2577	0.00310438494373302
S	8	11	3569	0.00308209582516111
