No.	Word	Biphone joint trans logprob	Triphone joint trans logprob	Biphone avg trans logprob	Triphone avg trans logprob	Triphone avg centered logprob	Avg biphone prob	Avg triphone prob	NNB	NNB freq	Neighbors	GNM sim	GNM sim (adj.)	Nearest neighbors
40	prik	-11.6911323139443	-7.64580783408504	-2.27110552756073	-2.04796197624652	-1.31194010509925	-5.32252273214192	-4.03302392852548	24	98.2379869763353		0.546697535987573	1.41152445324823e-05	creak (21, 0.57143), creak (145, 0.57143), creek (282, 0.57143), freak (104, 0.66667), freak (25, 0.66667)
41	pVm	-10.6341087304967	-8.4054406233836	-2.44166386282106	-2.15398179036928	-2.57242676876362	-5.50290442411805	-5.56418228390443	50	199.780014370274		0.794776077693726	2.05204120134705e-05	bum (67, 0.56000), bum (16, 0.56000), bum (6, 0.56000), come (35152, 0.57143), pub (546, 0.58333)
42	pwIp	-16.1201397150991	-13.9682523223	-2.50534620118877	-2.28220264987456	-2.40838697819848	-5.66522794570118	-5.80027698756571	6	21.1985024701121		0.187015119161277	4.82856417756519e-06	quip (16, 0.57143), quip (15, 0.57143), pip (27, 0.70000), pip (1, 0.70000), whip (254, 0.70000)
43	pwVdz	-21.6679340024253	-inf	-2.42186693827875	-2.2395453814848	-2.14216389077852	-5.98158344978305	-6.80408709745643	0	0		0.00605869502908327	1.56430121326154e-07	upwards (354, 0.95714), duds (2, 1.53784), suds (22, 1.57500), tweeds (20, 1.61008), forwards (282, 1.62381)
44	kwid	-12.0812600654779	-9.11776560648686	-2.19768070606568	-1.97453715475147	-1.67160197720934	-5.344255098134	-5.18857013894594	13	55.450768805814		0.269925767156675	6.96924342662661e-06	queen (951, 0.59375), queen (4, 0.59375), tweed (92, 0.65385), quid (116, 0.67857), we'd (346, 0.70000)
45	r2nt	-11.3537742596379	-10.7792584405152	-2.03520902196009	-1.81206547064588	-1.89711911328963	-4.9511026648882	-3.94450287741813	18	93.924837991431		0.310851163466779	8.02590078920707e-06	rind (33, 0.58824), right (2069, 0.70000), right (21, 0.70000), right (7094, 0.70000), right (5616, 0.70000)
46	r{sk	-13.2699146084794	-12.038579656476	-2.56913274641199	-2.34598919509778	-2.89321665174926	-5.50523271387764	-5.43083473170693	13	48.5171915203769		0.212605273815073	5.48927922891412e-06	rack (182, 0.70000), rack (6, 0.70000), rack (65, 0.70000), wrac (1, 0.70000), wrac (1, 0.70000)
47	r2f	-12.6202107300333	-8.40143928249391	-3.08277203080023	-2.79508995834845	-3.38838277964504	-6.00018706427897	-5.92085722784316	41	203.306475970401		1.66578700635943	4.30091401295973e-05	rife (26, 5e-06), life (14935, 0.37500), knife (791, 0.56522), knife (42, 0.56522), rive (30, 0.56522)
48	sk4l	-15.3105676119089	-inf	-2.36291035506501	-2.1397668037508	-1.70291624730225	-5.32934204741397	-4.77505669765495	18	82.0775411082509		0.401806391167601	1.03742839370944e-05	spoil (19, 0.57143), spoil (522, 0.57143), spoil (6, 0.57143), school (9198, 0.59596), school (23, 0.59596)
49	sfund	-18.4569622211559	-inf	-2.29084613066065	-2.10852457386669	-2.80209850269737	-5.2582876550971	-5.13087314962509	0	0		0.00760564636657674	1.96371030094156e-07	found (544, 1.35753), sound (2725, 1.35753), sound (2245, 1.35753), sound (80, 1.35753), sound (60, 1.35753)
