		syllabic	consonantal	hi	lo	bk	rnd	long	diphthong	reduced	rhotacized	nasal	labial	coronal	dorsal	bilabial	dental	alveolar	palatal	velar	obstruent	sonorant	stop	continuant	glide	consonantal	oral	affricate	strident	distributed	lateral	rhotic	nasal	voice	voiceless	spread glottis
"J,"	74	"-,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"+,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"+,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"
"_,"	95	"-,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"+,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"+,"	"+,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"
"k,"	107	"-,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"+,"	"+,"	"0,"	"+,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"
"g,"	103	"-,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"+,"	"+,"	"0,"	"+,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"
"N,"	78	"-,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"+,"	"+,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"+,"	"0,"	"0,"
"l,"	108	"-,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"+,"	"0,"	"0,"
"r,"	114	"-,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"+,"	"0,"	"+,"	"0,"	"+,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"+,"	"0,"	"0,"
"n,"	110	"-,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"+,"	"+,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"+,"	"0,"	"0,"
"w,"	119	"-,"	"-,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"
"j,"	106	"-,"	"-,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"
"h,"	104	"-,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"+,"	"+,"
